,tokenized_text,is_after_split_date
236,also tbh much tend cluster together bc get better even pre diagnosis much like jokes lot friend groups go one gay friend hs one yeah lmao,False
237,problem nts research dont understand like dont know extent sensory processing issues dont feel massive anxiety constantly follow rules fear really dont know us like think,False
238,includes things like tourettes ocd psychosis schizophrenia doesnt include mental illnesses true include specific disorder,False
239,heard someone link sensory aversion food textures like holy fuck another puzzle piece slides place,False
240,year apartment similar tell let let panic attack end completely crash start fresh tomorrow,False
241,mean,False
242,day art psychology neuroscience prompt repetition key learning useful self soother crippling associated conditions pros cons repetitive behaviour,False
243,april letter group including mawrtyrs access bico affinity awareness group wrote administrators demand formalized minor bmc read disabilities minor hit link bio,False
244,excellent list books autistic people groundbreaking memoir biography swoonworthy romance middle grade detective fiction includes work,False
245,adding teams winwin companies employees via,False
246,dont get gatekeep mental illness dont get gatekeep people know better,False
247,race science eugenics using science justify eradicating undesirable qualities characteristics humans include race also applies illnesses one thread trying eradicate logic fucking corny,False
248,cogent insightful thoughts particularly regards adhd,False
249,diagnosed started really understanding year shitty health care mental health system convinced treat problem started looking broadly noticed might also autistic,False
250,sentiment shared lot need fixing want unconditional love warning strong language,False
251,banned congress disciplined least get kicked committees oh right wait bad,False
252,actually thinking incredibly worried treated way often failure understand labels interviewed colead position,False
253,like term never heard used nuerotypical neuroatypical much better ring,False
254,looking autistic adults join new friends group subreddit discord server,False
255,yenn purkis page,False
256,dyslexia brief history interactive webinar may online webinar exceptional individuals discusses dyslexia historic scientific advocacyperspective engaging interactive way,False
257,literally doesnt make sense people advocate breath make generalizations nt vs nd neurology,False
258,paradigm actually based idea normal say neurotypical brain acknowledging complexity diversity human brains point,False
259,im cis man doesnt feel dysphoria body plus lack interests physical contact make dull around topic ive learnt much recent years lgbtqia perceive attraction etc cont,False
260,realised ive never posted together illustrations internalised ableism bingo youtube series side side playlist link,False
261,good espionage lots suspect,False
262,important note point diagnosis,False
263,shifting medical model paradigm latest paradigm empowers autistic people please check share,False
264,check latest article emotions matter via,False
265,check latest article emotions matter via,False
266,important human life biodiversity plant life highlight value strengths nd invidivuals world needs us,False
267,huge issue many students,False
268,always love differences hi justin,False
269,ccd videos loved story man part silicon valley startup old days said dys tried recreate w brainiacs china etc doesnt work key silicon valley dont question,False
270,dyslexia valuable skills spotting patterns others miss key area spy agency wants encourage always knew superpower,False
