,Work,Lockdown,Supervisor
2022-10-22,127.0,6.0,34.0
2022-10-24,223.0,13.0,66.0
2022-10-25,283.0,15.0,102.0
2022-10-26,221.0,4.0,75.0
2022-10-29,118.0,6.0,40.0
2022-10-30,119.0,6.0,25.0
2022-11-02,207.0,16.0,75.0
2022-11-03,233.0,11.0,76.0
2022-11-04,217.0,24.0,85.0
2022-11-05,94.0,9.0,46.0
2022-11-07,188.0,12.0,52.0
2022-11-10,188.0,18.0,57.0
2022-11-11,165.0,10.0,75.0
2022-11-13,82.0,15.0,27.0
2022-11-15,156.0,13.0,49.0
2022-11-16,184.0,22.0,84.0
2022-11-17,216.0,27.0,103.0
2022-11-18,160.0,11.0,60.0
2022-11-19,131.0,7.0,38.0
2022-11-20,99.0,2.0,30.0
2022-11-21,225.0,12.0,62.0
2022-11-23,171.0,6.0,61.0
2022-11-24,192.0,14.0,63.0
2022-11-28,138.0,5.0,52.0
2022-11-29,204.0,15.0,71.0
2022-12-01,203.0,22.0,76.0
2022-12-02,139.0,6.0,73.0
2022-12-03,136.0,19.0,63.0
2022-12-05,180.0,21.0,67.0
2022-12-06,194.0,12.0,70.0
2022-12-07,155.0,9.0,56.0
2022-12-10,106.0,10.0,31.0
2022-12-12,132.0,10.0,59.0
2022-12-14,169.0,13.0,47.0
2022-12-15,156.0,23.0,60.0
2022-12-18,87.0,42.0,62.0
2022-12-19,173.0,34.0,86.0
2022-12-20,155.0,15.0,61.0
2022-12-21,157.0,18.0,65.0
2022-12-23,106.0,9.0,29.0
2022-12-25,38.0,7.0,16.0
2022-12-27,82.0,5.0,27.0
2022-12-28,87.0,14.0,35.0
2023-01-05,176.0,16.0,57.0
2023-01-07,88.0,5.0,26.0
2023-01-08,82.0,2.0,20.0
2023-01-09,167.0,14.0,70.0
2023-01-10,187.0,17.0,85.0
2023-01-12,158.0,16.0,63.0
2023-01-13,168.0,15.0,67.0
2023-01-16,128.0,16.0,62.0
2023-01-17,190.0,11.0,56.0
2023-01-18,172.0,9.0,61.0
2023-01-19,177.0,14.0,72.0
2023-01-20,147.0,19.0,51.0
2023-01-21,75.0,3.0,39.0
2023-01-22,86.0,9.0,40.0
2023-01-23,220.0,15.0,95.0
2023-01-24,200.0,16.0,60.0
2023-01-25,205.0,19.0,71.0
2023-01-26,215.0,14.0,87.0
2023-01-27,220.0,12.0,71.0
2023-01-28,124.0,7.0,65.0
2023-02-01,200.0,18.0,84.0
2023-02-02,207.0,17.0,61.0
2023-02-03,200.0,13.0,82.0
2023-02-06,197.0,13.0,72.0
2023-02-07,203.0,18.0,76.0
2023-02-08,262.0,16.0,91.0
2023-02-09,211.0,11.0,68.0
2023-02-10,218.0,10.0,76.0
2023-02-11,112.0,5.0,56.0
2023-02-12,135.0,14.0,63.0
2023-02-13,195.0,16.0,79.0
2023-02-15,255.0,11.0,104.0
2023-02-16,195.0,17.0,87.0
2023-02-18,101.0,8.0,35.0
2023-02-19,113.0,8.0,39.0
2023-02-20,209.0,14.0,72.0
2023-02-21,205.0,12.0,98.0
2023-02-22,208.0,8.0,79.0
2023-02-25,110.0,8.0,57.0
2023-02-26,101.0,8.0,33.0
2023-02-27,255.0,15.0,76.0
2023-03-01,244.0,8.0,107.0
2023-03-02,249.0,13.0,101.0
2023-03-03,336.0,13.0,134.0
2023-03-04,109.0,7.0,39.0
2023-03-05,122.0,7.0,55.0
2023-03-06,225.0,16.0,96.0
2023-03-09,314.0,11.0,114.0
2023-03-10,352.0,10.0,121.0
2023-03-11,162.0,5.0,60.0
2023-03-12,164.0,17.0,66.0
2023-03-13,1231.0,47.0,442.0
2023-03-14,905.0,23.0,318.0
2023-03-15,897.0,28.0,344.0
2023-03-16,781.0,29.0,264.0
2023-03-17,761.0,28.0,276.0
2023-03-18,218.0,10.0,62.0
2023-03-19,166.0,6.0,57.0
2023-03-20,380.0,16.0,149.0
2023-03-21,321.0,11.0,105.0
2023-03-22,345.0,17.0,106.0
2023-03-23,289.0,18.0,97.0
2023-03-25,133.0,6.0,58.0
2023-03-27,504.0,22.0,144.0
2023-03-28,431.0,15.0,136.0
2023-03-29,458.0,17.0,140.0
2023-03-30,513.0,19.0,151.0
2023-03-31,455.0,16.0,121.0
2020-05-02,34.0,6.0,10.0
2020-05-03,27.0,6.0,12.0
2020-05-04,63.0,22.0,15.0
2020-05-05,73.0,32.0,23.0
2020-05-06,65.0,22.0,15.0
2020-05-07,345.0,143.0,35.0
2020-05-08,55.0,15.0,18.0
2020-05-09,14.0,9.0,12.0
2020-05-11,34.0,6.0,14.0
2020-05-12,67.0,9.0,19.0
2020-05-13,69.0,7.0,25.0
2020-05-20,64.0,10.0,27.0
2020-05-22,95.0,16.0,39.0
2020-05-24,22.0,4.0,14.0
2020-05-26,54.0,15.0,25.0
2020-05-28,42.0,11.0,25.0
2020-05-29,73.0,12.0,28.0
2020-06-02,83.0,7.0,38.0
2020-06-03,68.0,14.0,19.0
2020-06-05,80.0,7.0,36.0
2020-06-07,40.0,3.0,24.0
2020-06-08,50.0,7.0,22.0
2020-06-11,87.0,10.0,48.0
2020-06-13,31.0,1.0,15.0
2020-06-16,83.0,18.0,26.0
2020-06-18,152.0,5.0,58.0
2020-06-20,53.0,7.0,30.0
2020-06-21,31.0,5.0,9.0
2020-06-22,76.0,4.0,29.0
2020-06-23,94.0,9.0,31.0
2020-06-28,35.0,3.0,10.0
2020-07-01,115.0,14.0,46.0
2020-07-02,87.0,14.0,48.0
2020-07-04,44.0,7.0,18.0
2020-07-05,45.0,8.0,12.0
2020-07-07,65.0,15.0,24.0
2020-07-08,77.0,8.0,31.0
2020-07-09,72.0,10.0,35.0
2020-07-10,82.0,6.0,29.0
2020-07-12,36.0,10.0,14.0
2020-07-13,53.0,11.0,24.0
2020-07-14,80.0,12.0,40.0
2020-07-15,99.0,7.0,34.0
2020-07-18,40.0,3.0,20.0
2020-07-19,55.0,4.0,25.0
2020-07-22,101.0,5.0,50.0
2020-07-24,100.0,12.0,27.0
2020-07-27,74.0,12.0,28.0
2020-07-29,70.0,4.0,22.0
2020-08-02,57.0,3.0,19.0
2020-08-04,76.0,15.0,26.0
2020-08-05,111.0,14.0,46.0
2020-08-06,68.0,5.0,31.0
2020-08-08,39.0,7.0,12.0
2020-08-09,58.0,13.0,24.0
2020-08-10,53.0,3.0,22.0
2020-08-12,76.0,4.0,30.0
2020-08-16,56.0,9.0,19.0
2020-08-17,79.0,7.0,21.0
2020-08-21,73.0,7.0,36.0
2020-08-23,25.0,11.0,12.0
2020-08-26,88.0,14.0,29.0
2020-08-27,63.0,23.0,34.0
2020-08-28,94.0,11.0,33.0
2020-08-29,49.0,8.0,15.0
2020-08-30,40.0,2.0,11.0
2020-09-01,91.0,19.0,26.0
2020-09-02,84.0,13.0,23.0
2020-09-03,107.0,14.0,41.0
2020-09-04,83.0,13.0,33.0
2020-09-06,32.0,3.0,14.0
2020-09-09,111.0,9.0,48.0
2020-09-10,137.0,12.0,76.0
2020-09-12,48.0,8.0,19.0
